UID,Is Target Cell,Is CTC,Object Index,Study Identifier Left Number,Study Identifier Right Number
63106,1,0,123,191204,170421
63107,1,0,124,191204,170421
63108,1,0,125,191204,170421
63109,1,0,126,191204,170421
63110,1,0,127,191204,170421
63111,1,0,128,191204,170421
63112,1,0,129,191204,170421
63113,1,0,130,191204,170421
63114,1,0,131,191204,170421
63115,1,0,132,191204,170421
63116,1,0,133,191204,170421
63117,1,0,134,191204,170421
63118,1,0,135,191204,170421
63119,1,0,136,191204,170421
63120,1,0,137,191204,170421
63121,1,0,138,191204,170421
63122,1,0,139,191204,170421
63123,1,0,140,191204,170421
63124,1,0,141,191204,170421
63125,1,0,142,191204,170421
63126,1,0,143,191204,170421
63127,1,0,144,191204,170421
63128,1,0,145,191204,170421
63129,1,0,146,191204,170421
63130,1,0,147,191204,170421
63131,1,0,148,191204,170421
63132,1,0,149,191204,170421
63133,1,0,150,191204,170421
63134,1,0,151,191204,170421
63135,1,0,152,191204,170421
63136,1,0,153,191204,170421
63137,1,0,154,191204,170421
63138,1,0,155,191204,170421
63139,1,0,156,191204,170421
63140,1,0,157,191204,170421
63141,1,0,158,191204,170421
63142,1,0,159,191204,170421
63143,1,0,160,191204,170421
63144,1,0,161,191204,170421
63145,1,0,162,191204,170421
63146,1,0,163,191204,170421
63147,1,0,164,191204,170421
63148,1,0,165,191204,170421
63149,1,0,166,191204,170421
63150,1,0,167,191204,170421
63151,1,0,168,191204,170421
63152,1,0,169,191204,170421
63153,1,0,170,191204,170421
63154,1,0,171,191204,170421
63155,1,0,172,191204,170421
63156,1,0,173,191204,170421
63157,1,0,174,191204,170421
63158,1,0,175,191204,170421
63159,1,0,176,191204,170421
63160,1,0,177,191204,170421
63161,1,0,178,191204,170421
63162,1,0,179,191204,170421
63163,1,0,180,191204,170421
63164,1,0,181,191204,170421
63165,1,1,182,191204,170421
63166,1,0,183,191204,170421
63167,1,0,184,191204,170421
63168,1,0,185,191204,170421
63169,1,0,186,191204,170421
63170,1,0,187,191204,170421
63171,1,0,188,191204,170421
63172,1,0,189,191204,170421
63173,1,0,190,191204,170421
63174,1,0,191,191204,170421
63175,1,0,192,191204,170421
63176,1,0,193,191204,170421
63177,1,0,194,191204,170421
63178,1,0,195,191204,170421
63179,1,0,196,191204,170421
63180,1,0,197,191204,170421
63181,1,0,198,191204,170421
63182,1,0,199,191204,170421
63183,1,0,200,191204,170421
63184,1,0,201,191204,170421
63185,1,0,202,191204,170421
63186,1,0,203,191204,170421
63187,1,0,204,191204,170421
63188,1,0,205,191204,170421
63189,1,0,206,191204,170421
63190,1,0,207,191204,170421
63191,1,0,208,191204,170421
63192,1,0,209,191204,170421
63193,1,0,210,191204,170421
63194,1,0,211,191204,170421
63195,1,0,212,191204,170421
63196,1,0,213,191204,170421
63197,1,0,214,191204,170421
63198,1,0,215,191204,170421
63199,1,0,216,191204,170421
63200,1,0,217,191204,170421
63201,1,0,218,191204,170421
63202,1,0,219,191204,170421
63203,1,0,220,191204,170421
63204,1,0,221,191204,170421
63205,1,0,222,191204,170421
63206,1,0,223,191204,170421
63207,1,0,224,191204,170421
63208,1,0,225,191204,170421
63209,1,0,226,191204,170421
63210,1,0,227,191204,170421
63211,1,0,228,191204,170421
63212,1,0,229,191204,170421
63213,1,0,230,191204,170421
63214,1,0,231,191204,170421
63215,1,0,232,191204,170421
63216,1,0,233,191204,170421
63217,1,0,234,191204,170421
63218,1,0,235,191204,170421
63219,1,0,236,191204,170421
63220,1,0,237,191204,170421
63221,1,0,238,191204,170421
63222,1,0,239,191204,170421
63223,1,0,240,191204,170421
63224,1,0,241,191204,170421
63225,1,0,242,191204,170421
63226,1,0,243,191204,170421
63227,1,0,244,191204,170421
63228,1,0,245,191204,170421
63229,1,0,246,191204,170421
63230,1,0,247,191204,170421
63231,1,0,248,191204,170421
63232,1,0,249,191204,170421
63233,1,0,250,191204,170421
63234,1,0,251,191204,170421
63235,1,0,252,191204,170421
63236,1,0,253,191204,170421
63237,1,0,254,191204,170421
63238,1,0,255,191204,170421
63239,1,0,256,191204,170421
63240,1,0,257,191204,170421
63241,1,0,258,191204,170421
63242,1,0,259,191204,170421
63243,1,0,260,191204,170421
63244,1,0,261,191204,170421
63245,1,0,262,191204,170421
63246,1,0,263,191204,170421
63247,1,0,264,191204,170421
63248,1,0,265,191204,170421
63249,1,0,266,191204,170421
63250,1,0,267,191204,170421
63251,1,0,268,191204,170421
63252,1,0,269,191204,170421
63253,1,0,270,191204,170421
63254,1,0,271,191204,170421
63255,1,0,272,191204,170421
63256,1,0,273,191204,170421
63257,1,0,274,191204,170421
63258,1,0,275,191204,170421
63259,1,0,276,191204,170421
63260,1,0,277,191204,170421
63261,1,0,278,191204,170421
63262,1,0,279,191204,170421
63263,1,0,280,191204,170421
63264,1,0,281,191204,170421
63265,1,0,282,191204,170421
63266,1,0,283,191204,170421
63267,1,0,284,191204,170421
63268,1,0,285,191204,170421
63269,1,0,286,191204,170421
63270,1,0,287,191204,170421
63271,1,0,288,191204,170421
63272,1,0,289,191204,170421
63273,1,0,290,191204,170421
63274,1,0,291,191204,170421
63275,1,0,292,191204,170421
63276,1,0,293,191204,170421
63277,1,0,294,191204,170421
63278,1,0,295,191204,170421
63279,1,0,296,191204,170421
63280,1,0,297,191204,170421
63281,1,0,298,191204,170421
63282,1,0,299,191204,170421
63283,1,0,300,191204,170421
63284,1,0,301,191204,170421
63285,1,0,302,191204,170421
63286,1,0,303,191204,170421
63287,1,0,304,191204,170421
63288,1,0,305,191204,170421
63289,1,0,306,191204,170421
63290,1,0,307,191204,170421
63291,1,0,308,191204,170421
63292,1,0,309,191204,170421
63293,1,0,310,191204,170421
63294,1,0,311,191204,170421
63295,1,0,312,191204,170421
63296,1,0,313,191204,170421
63297,1,0,314,191204,170421
63298,1,0,315,191204,170421
63299,1,0,316,191204,170421
63300,1,0,317,191204,170421
63301,1,0,318,191204,170421
63302,1,0,319,191204,170421
63303,1,0,320,191204,170421
63304,1,0,321,191204,170421
63305,1,0,322,191204,170421
63306,1,0,323,191204,170421
63307,1,0,324,191204,170421
63308,1,0,325,191204,170421
63309,1,0,326,191204,170421
63310,1,0,327,191204,170421
63311,1,0,328,191204,170421
63312,1,0,329,191204,170421
63313,1,1,330,191204,170421
63314,1,0,331,191204,170421
63315,1,0,332,191204,170421
63316,1,0,333,191204,170421
63317,1,0,334,191204,170421
63318,1,0,335,191204,170421
63319,1,0,336,191204,170421
63320,1,0,337,191204,170421
63321,1,0,338,191204,170421
63322,1,0,339,191204,170421
63323,1,0,340,191204,170421
63324,1,0,341,191204,170421
63325,1,0,342,191204,170421
63326,1,0,343,191204,170421
63327,1,0,344,191204,170421
63328,1,0,345,191204,170421
63329,1,0,346,191204,170421
63330,1,0,347,191204,170421
63331,1,0,348,191204,170421
63332,1,0,349,191204,170421
63333,1,0,350,191204,170421
63334,1,0,351,191204,170421
63335,1,0,352,191204,170421
63336,1,0,353,191204,170421
63337,1,0,354,191204,170421
63338,1,0,355,191204,170421
63339,1,0,356,191204,170421
63340,1,0,357,191204,170421
63341,1,0,358,191204,170421
63342,1,0,359,191204,170421
63343,1,0,360,191204,170421
63344,1,0,361,191204,170421
63345,1,0,362,191204,170421
63346,1,0,363,191204,170421
63347,1,0,364,191204,170421
63348,1,0,365,191204,170421
63349,1,0,366,191204,170421
63350,1,0,367,191204,170421
63351,1,0,368,191204,170421
63352,1,0,369,191204,170421
63353,1,0,370,191204,170421
63354,1,0,371,191204,170421
63355,1,0,372,191204,170421
63356,1,0,373,191204,170421
63357,1,0,374,191204,170421
63358,1,0,375,191204,170421
63359,1,0,376,191204,170421
63360,1,0,377,191204,170421
63361,1,0,378,191204,170421
63362,1,0,379,191204,170421
63363,1,0,380,191204,170421
63364,1,0,381,191204,170421
63365,1,0,382,191204,170421
63366,1,0,383,191204,170421
63367,1,0,384,191204,170421
63368,1,0,385,191204,170421
63369,1,0,386,191204,170421
63370,1,0,387,191204,170421
63371,1,0,388,191204,170421
63372,1,0,389,191204,170421
63373,1,0,390,191204,170421
63374,1,0,391,191204,170421
63375,1,0,392,191204,170421
63376,1,0,393,191204,170421
63377,1,0,394,191204,170421
63378,1,0,395,191204,170421
63379,1,0,396,191204,170421
63380,1,0,397,191204,170421
63381,1,0,398,191204,170421
63382,1,0,399,191204,170421
63383,1,0,400,191204,170421
63384,1,0,401,191204,170421
63385,1,0,402,191204,170421
63386,1,0,403,191204,170421
63387,1,0,404,191204,170421
63388,1,0,405,191204,170421
63389,1,0,406,191204,170421
63390,1,0,407,191204,170421
63391,1,0,408,191204,170421
63392,1,0,409,191204,170421
63393,1,0,410,191204,170421
63394,1,0,411,191204,170421
63395,1,1,412,191204,170421
63396,1,0,413,191204,170421
63397,1,0,414,191204,170421
63398,1,0,415,191204,170421
63399,1,0,416,191204,170421
63400,1,0,417,191204,170421
63401,1,0,418,191204,170421
63402,1,1,419,191204,170421
63403,1,0,420,191204,170421
63404,1,0,421,191204,170421
63405,1,0,422,191204,170421
63406,1,0,423,191204,170421
63407,1,0,424,191204,170421
63408,1,0,425,191204,170421
63409,1,0,426,191204,170421
63410,1,0,427,191204,170421
63411,1,0,428,191204,170421
63412,1,1,429,191204,170421
63413,1,0,430,191204,170421
63414,1,0,431,191204,170421
63415,1,0,432,191204,170421
63416,1,0,433,191204,170421
63417,1,0,434,191204,170421
63418,1,0,435,191204,170421
63419,1,0,436,191204,170421
63420,1,0,437,191204,170421
63421,1,0,438,191204,170421
63422,1,0,439,191204,170421
63423,1,0,440,191204,170421
63424,1,0,441,191204,170421
63425,1,0,442,191204,170421
63426,1,0,443,191204,170421
63427,1,0,444,191204,170421
63428,1,0,445,191204,170421
63429,1,0,446,191204,170421
63430,1,0,447,191204,170421
63431,1,0,448,191204,170421
63432,1,0,449,191204,170421
63433,1,0,450,191204,170421
63434,1,0,451,191204,170421
63435,1,0,452,191204,170421
63436,1,0,453,191204,170421
63437,1,0,454,191204,170421
63438,1,0,455,191204,170421
63439,1,0,456,191204,170421
63440,1,1,457,191204,170421
63441,1,0,458,191204,170421
63442,1,0,459,191204,170421
63443,1,1,460,191204,170421
63444,1,0,461,191204,170421
63445,1,0,462,191204,170421
63446,1,0,463,191204,170421
63447,1,0,464,191204,170421
63448,1,0,465,191204,170421
63449,1,0,466,191204,170421
63450,1,0,467,191204,170421
63451,1,0,468,191204,170421
63452,1,0,469,191204,170421
63453,1,0,470,191204,170421
63454,1,0,471,191204,170421
63455,1,0,472,191204,170421
63456,1,0,473,191204,170421
63457,1,0,474,191204,170421
63458,1,0,475,191204,170421
63459,1,0,476,191204,170421
63460,1,0,477,191204,170421
63461,1,0,478,191204,170421
63462,1,0,479,191204,170421
63463,1,0,480,191204,170421
63464,1,0,481,191204,170421
63465,1,0,482,191204,170421
63466,1,0,483,191204,170421
63467,1,0,484,191204,170421
63468,1,0,485,191204,170421
63469,1,0,486,191204,170421
63470,1,0,487,191204,170421
63471,1,0,488,191204,170421
63472,1,0,489,191204,170421
63473,1,0,490,191204,170421
63474,1,0,491,191204,170421
63475,1,0,492,191204,170421
63476,1,0,493,191204,170421
63477,1,0,494,191204,170421
63478,1,0,495,191204,170421
63479,1,0,496,191204,170421
63480,1,0,497,191204,170421
63481,1,0,498,191204,170421
63482,1,0,499,191204,170421
63483,1,0,500,191204,170421
63484,1,0,501,191204,170421
63485,1,0,502,191204,170421
63486,1,0,503,191204,170421
63487,1,0,504,191204,170421
63488,1,0,505,191204,170421
63489,1,0,506,191204,170421
63490,1,0,507,191204,170421
63491,1,0,508,191204,170421
63492,1,0,509,191204,170421
63493,1,0,510,191204,170421
63494,1,0,511,191204,170421
63495,1,0,512,191204,170421
63496,1,0,513,191204,170421
63497,1,0,514,191204,170421
63498,1,0,515,191204,170421
63499,1,0,516,191204,170421
63500,1,0,517,191204,170421
63501,1,0,518,191204,170421
63502,1,0,519,191204,170421
63503,1,0,520,191204,170421
63504,1,0,521,191204,170421
63505,1,0,522,191204,170421
63506,1,0,523,191204,170421
63507,1,0,524,191204,170421
63508,1,0,525,191204,170421
63509,1,0,526,191204,170421
63510,1,0,527,191204,170421
63511,1,0,528,191204,170421
63512,1,0,529,191204,170421
63513,1,0,530,191204,170421
63514,1,0,531,191204,170421
63515,1,0,532,191204,170421
63516,1,0,533,191204,170421
63517,1,0,534,191204,170421
63518,1,0,535,191204,170421
63519,1,0,536,191204,170421
63520,1,0,537,191204,170421
63521,1,0,538,191204,170421
63522,1,0,539,191204,170421
63523,1,0,540,191204,170421
63524,1,0,541,191204,170421
63525,1,0,542,191204,170421
63526,1,0,543,191204,170421
63527,1,0,544,191204,170421
63528,1,0,545,191204,170421
63529,1,0,546,191204,170421
63530,1,0,547,191204,170421
63531,1,0,548,191204,170421
63532,1,0,549,191204,170421
63533,1,0,550,191204,170421
63534,1,0,551,191204,170421
63535,1,0,552,191204,170421
63536,1,0,553,191204,170421
63537,1,0,554,191204,170421
63538,1,0,555,191204,170421
63539,1,0,556,191204,170421
63540,1,0,557,191204,170421
63541,1,0,558,191204,170421
63542,1,0,559,191204,170421
63543,1,0,560,191204,170421
63544,1,0,561,191204,170421
63545,1,0,562,191204,170421
63546,1,0,563,191204,170421
63547,1,0,564,191204,170421
63548,1,0,565,191204,170421
63549,1,1,566,191204,170421
63550,1,0,567,191204,170421
63551,1,0,568,191204,170421
63552,1,0,569,191204,170421
63553,1,0,570,191204,170421
63554,1,0,571,191204,170421
63555,1,0,572,191204,170421
63556,1,0,573,191204,170421
63557,1,0,574,191204,170421
63558,1,0,575,191204,170421
63559,1,0,576,191204,170421
63560,1,0,577,191204,170421
63561,1,0,578,191204,170421
63562,1,0,579,191204,170421
63563,1,0,580,191204,170421
63564,1,0,581,191204,170421
63565,1,0,582,191204,170421
63566,1,0,583,191204,170421
63567,1,0,584,191204,170421
63568,1,0,585,191204,170421
63569,1,0,586,191204,170421
63570,1,0,587,191204,170421
63571,1,0,588,191204,170421
63572,1,0,589,191204,170421
63573,1,0,590,191204,170421
63574,1,0,591,191204,170421
63575,1,0,592,191204,170421
63576,1,0,593,191204,170421
63577,1,0,594,191204,170421
63578,1,0,595,191204,170421
63579,1,0,596,191204,170421
63580,1,0,597,191204,170421
63581,1,0,598,191204,170421
63582,1,0,599,191204,170421
63583,1,0,600,191204,170421
63584,1,0,601,191204,170421
63585,1,0,602,191204,170421
63586,1,1,603,191204,170421
63587,1,0,604,191204,170421
63588,1,0,605,191204,170421
63589,1,0,606,191204,170421
63590,1,0,607,191204,170421
63591,1,1,608,191204,170421
63592,1,0,609,191204,170421
63593,1,0,610,191204,170421
63594,1,0,611,191204,170421
63595,1,0,612,191204,170421
63596,1,0,613,191204,170421
63597,1,0,614,191204,170421
63598,1,0,615,191204,170421
63599,1,0,616,191204,170421
63600,1,0,617,191204,170421
63601,1,0,618,191204,170421
63602,1,0,619,191204,170421
63603,1,0,620,191204,170421
63604,1,0,621,191204,170421
63605,1,0,622,191204,170421
63606,1,0,623,191204,170421
63607,1,0,624,191204,170421
63608,1,0,625,191204,170421
63609,1,0,626,191204,170421
63610,1,0,627,191204,170421
63611,1,0,628,191204,170421
63612,1,0,629,191204,170421
63613,1,0,630,191204,170421
63614,1,0,631,191204,170421
63615,1,0,632,191204,170421
63616,1,0,633,191204,170421
63617,1,0,634,191204,170421
63618,1,0,635,191204,170421
63619,1,0,636,191204,170421
63620,1,0,637,191204,170421
63621,1,0,638,191204,170421
63622,1,1,639,191204,170421
63623,1,0,640,191204,170421
63624,1,0,641,191204,170421
63625,1,0,642,191204,170421
63626,1,0,643,191204,170421
63627,1,0,644,191204,170421
63628,1,0,645,191204,170421
63629,1,1,646,191204,170421
63630,1,0,647,191204,170421
63631,1,0,648,191204,170421
63632,1,0,649,191204,170421
63633,1,0,650,191204,170421
63634,1,0,651,191204,170421
63635,1,0,652,191204,170421
63636,1,0,653,191204,170421
63637,1,0,654,191204,170421
63638,1,0,655,191204,170421
63639,1,0,656,191204,170421
63640,1,0,657,191204,170421
63641,1,0,658,191204,170421
63642,1,0,659,191204,170421
63643,1,0,660,191204,170421
63644,1,0,661,191204,170421
63645,1,0,662,191204,170421
63646,1,0,663,191204,170421
63647,1,0,664,191204,170421
63648,1,0,665,191204,170421
63649,1,0,666,191204,170421
63650,1,0,667,191204,170421
63651,1,0,668,191204,170421
63652,1,0,669,191204,170421
63653,1,0,670,191204,170421
63654,1,0,671,191204,170421
63655,1,0,672,191204,170421
63656,1,0,673,191204,170421
63657,1,0,674,191204,170421
63658,1,0,675,191204,170421
63659,1,0,676,191204,170421
63660,1,1,677,191204,170421
63661,1,1,678,191204,170421
63662,1,0,679,191204,170421
63663,1,0,680,191204,170421
63664,1,0,681,191204,170421
63665,1,0,682,191204,170421
63666,1,0,683,191204,170421
63667,1,0,684,191204,170421
63668,1,0,685,191204,170421
63669,1,0,686,191204,170421
63670,1,0,687,191204,170421
63671,1,0,688,191204,170421
63672,1,0,689,191204,170421
63673,1,0,690,191204,170421
63674,1,0,691,191204,170421
63675,1,0,692,191204,170421
63676,1,0,693,191204,170421
63677,1,0,694,191204,170421
63678,1,0,695,191204,170421
63679,1,0,696,191204,170421
63680,1,0,697,191204,170421
63681,1,0,698,191204,170421
63682,1,0,699,191204,170421
63683,1,0,700,191204,170421
63684,1,0,701,191204,170421
63685,1,0,702,191204,170421
63686,1,0,703,191204,170421
63687,1,0,704,191204,170421
63688,1,0,705,191204,170421
63689,1,0,706,191204,170421
63690,1,0,707,191204,170421
63691,1,0,708,191204,170421
63692,1,0,709,191204,170421
63693,1,0,710,191204,170421
63694,1,0,711,191204,170421
63695,1,0,712,191204,170421
63696,1,0,713,191204,170421
63697,1,0,714,191204,170421
63698,1,0,715,191204,170421
63699,1,0,716,191204,170421
63700,1,0,717,191204,170421
63701,1,0,718,191204,170421
63702,1,0,719,191204,170421
63703,1,0,720,191204,170421
63704,1,0,721,191204,170421
63705,1,0,722,191204,170421
63706,1,0,723,191204,170421
63707,1,0,724,191204,170421
63708,1,0,725,191204,170421
63709,1,0,726,191204,170421
63710,1,0,727,191204,170421
63711,1,0,728,191204,170421
63712,1,0,729,191204,170421
63713,1,0,730,191204,170421
63714,1,0,731,191204,170421
63715,1,0,732,191204,170421
63716,1,0,733,191204,170421
63717,1,0,734,191204,170421
63718,1,0,735,191204,170421
63719,1,0,736,191204,170421
63720,1,0,737,191204,170421
63721,1,0,738,191204,170421
63722,1,0,739,191204,170421
63723,1,0,740,191204,170421
63724,1,1,741,191204,170421
63725,1,0,742,191204,170421
63726,1,0,743,191204,170421
63727,1,0,744,191204,170421
63728,1,0,745,191204,170421
63729,1,0,746,191204,170421
63730,1,0,747,191204,170421
63731,1,0,748,191204,170421
63732,1,0,749,191204,170421
63733,1,0,750,191204,170421
63734,1,0,751,191204,170421
63735,1,0,752,191204,170421
63736,1,0,753,191204,170421
63737,1,0,754,191204,170421
63738,1,0,755,191204,170421
63739,1,0,756,191204,170421
63740,1,0,757,191204,170421
63741,1,0,758,191204,170421
63742,1,0,759,191204,170421
63743,1,0,760,191204,170421
63744,1,0,761,191204,170421
63745,1,0,762,191204,170421
63746,1,0,763,191204,170421
63747,1,0,764,191204,170421
63748,1,0,765,191204,170421
63749,1,0,766,191204,170421
63750,1,0,767,191204,170421
63751,1,0,768,191204,170421
63752,1,0,769,191204,170421
63753,1,0,770,191204,170421
63754,1,0,771,191204,170421
63755,1,0,772,191204,170421
63756,1,0,773,191204,170421
63757,1,0,774,191204,170421
63758,1,0,775,191204,170421
63759,1,0,776,191204,170421
63760,1,0,777,191204,170421
63761,1,0,778,191204,170421
63762,1,0,779,191204,170421
63763,1,0,780,191204,170421
63764,1,0,781,191204,170421
63765,1,0,782,191204,170421
63766,1,0,783,191204,170421
63767,1,0,784,191204,170421
63768,1,0,785,191204,170421
63769,1,0,786,191204,170421
63770,1,0,787,191204,170421
63771,1,0,788,191204,170421
63772,1,0,789,191204,170421
63773,1,0,790,191204,170421
63774,1,0,791,191204,170421
63775,1,0,792,191204,170421
63776,1,0,793,191204,170421
63777,1,0,794,191204,170421
63778,1,0,795,191204,170421
63779,1,0,796,191204,170421
63780,1,0,797,191204,170421
63781,1,0,798,191204,170421
63782,1,0,799,191204,170421
63783,1,0,800,191204,170421
63784,1,0,801,191204,170421
63785,1,0,802,191204,170421
63786,1,0,803,191204,170421
63787,1,0,804,191204,170421
63788,1,0,805,191204,170421
63789,1,0,806,191204,170421
63790,1,0,807,191204,170421
63791,1,0,808,191204,170421
63792,1,0,809,191204,170421
63793,1,0,810,191204,170421
63794,1,0,811,191204,170421
63795,1,0,812,191204,170421
63796,1,0,813,191204,170421
63797,1,0,814,191204,170421
63798,1,1,815,191204,170421
63799,1,0,816,191204,170421
63800,1,0,817,191204,170421
63801,1,0,818,191204,170421
63802,1,0,819,191204,170421
63803,1,0,820,191204,170421
63804,1,0,821,191204,170421
63805,1,0,822,191204,170421
63806,1,0,823,191204,170421
63807,1,0,824,191204,170421
63808,1,0,825,191204,170421
63809,1,0,826,191204,170421
63810,1,0,827,191204,170421
63811,1,0,828,191204,170421
63812,1,0,829,191204,170421
63813,1,0,830,191204,170421
63814,1,0,831,191204,170421
63815,1,0,832,191204,170421
63816,1,0,833,191204,170421
63817,1,0,834,191204,170421
63818,1,0,835,191204,170421
63819,1,0,836,191204,170421
63820,1,0,837,191204,170421
63821,1,1,838,191204,170421
63822,1,0,839,191204,170421
63823,1,0,840,191204,170421
63824,1,0,841,191204,170421
63825,1,0,842,191204,170421
63826,1,0,843,191204,170421
63827,1,0,844,191204,170421
63828,1,0,845,191204,170421
63829,1,0,846,191204,170421
63830,1,0,847,191204,170421
63831,1,0,848,191204,170421
63832,1,0,849,191204,170421
63833,1,0,850,191204,170421
63834,1,1,851,191204,170421
63835,1,0,852,191204,170421
63836,1,0,853,191204,170421
63837,1,1,854,191204,170421
63838,1,0,855,191204,170421
63839,1,0,856,191204,170421
63840,1,0,857,191204,170421
63841,1,0,858,191204,170421
63842,1,0,859,191204,170421
63843,1,0,860,191204,170421
63844,1,0,861,191204,170421
63845,1,0,862,191204,170421
63846,1,0,863,191204,170421
63847,1,0,864,191204,170421
63848,1,0,865,191204,170421
63849,1,0,866,191204,170421
63850,1,0,867,191204,170421
63851,1,0,868,191204,170421
63852,1,0,869,191204,170421
63853,1,0,870,191204,170421
63854,1,0,871,191204,170421
63855,1,0,872,191204,170421
63856,1,0,873,191204,170421
63857,1,0,874,191204,170421
63858,1,0,875,191204,170421
63859,1,0,876,191204,170421
63860,1,0,877,191204,170421
63861,1,0,878,191204,170421
63862,1,0,879,191204,170421
63863,1,0,880,191204,170421
63864,1,1,881,191204,170421
63865,1,0,882,191204,170421
63866,1,0,883,191204,170421
63867,1,0,884,191204,170421
63868,1,0,885,191204,170421
63869,1,0,886,191204,170421
63870,1,0,887,191204,170421
63871,1,0,888,191204,170421
63872,1,0,889,191204,170421
63873,1,0,890,191204,170421
63874,1,0,891,191204,170421
63875,1,0,892,191204,170421
63876,1,0,893,191204,170421
63877,1,0,894,191204,170421
63878,1,0,895,191204,170421
63879,1,0,896,191204,170421
63880,1,0,897,191204,170421
63881,1,0,898,191204,170421
63882,1,0,899,191204,170421
63883,1,0,900,191204,170421
63884,1,0,901,191204,170421
63885,1,0,902,191204,170421
63886,1,1,903,191204,170421
63887,1,0,904,191204,170421
63888,1,0,905,191204,170421
63889,1,0,906,191204,170421
63890,1,0,907,191204,170421
63891,1,0,908,191204,170421
63892,1,1,909,191204,170421
63893,1,0,910,191204,170421
63894,1,0,911,191204,170421
63895,1,1,912,191204,170421
63896,1,0,913,191204,170421
63897,1,0,914,191204,170421
63898,1,0,915,191204,170421
63899,1,0,916,191204,170421
63900,1,0,917,191204,170421
63901,1,0,918,191204,170421
63902,1,1,919,191204,170421
63903,1,0,920,191204,170421
63904,1,0,921,191204,170421
63905,1,0,922,191204,170421
63906,1,0,923,191204,170421
63907,1,0,924,191204,170421
63908,1,0,925,191204,170421
63909,1,0,926,191204,170421
63910,1,0,927,191204,170421
